instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A3	68	147	5	7	274	2155	126224	1423750	2.17	0.07 
instancias\A4	68	296	30	7	274	2155	126224	1423750	2.17	0.07 
instancias\A5	97	165	14	12	255	2205	109905	1817430	2.94	0.09 
instancias\A6	37	180	17	6	212	2166	172864	3028068	2.25	0.16 
instancias\A7	57	134	9	9	197	2781	270924	3257550	3.64	0.17 
instancias\A8	129	274	16	8	265	2897	153576	4062945	7.17	0.21 
instancias\A9	63	132	8	9	204	2095	140219	1703844	2.33	0.09 
instancias\A10	86	211	9	9	222	2783	237016	2830640	3.69	0.15 
instancias\A11	86	458	43	10	284	2205	208035	2459664	3.35	0.13 
instancias\A12	50	212	12	8	195	2303	143715	2025700	1.52	0.11 
instancias\A13	272	266	36	11	217	2171	98952	1832864	11.08	0.10 
instancias\A14	361	203	27	12	213	2118	110432	1404528	11.75	0.07 
instancias\A15	392	218	25	14	230	2031	108612	1246488	12.39	0.06 
instancias\A16	38	304	9	5	289	2420	285124	1907047	1.94	0.10 
instancias\A17	21	270	9	2	234	2298	239888	1808806	1.02	0.09 
instancias\A18	73	377	38	6	269	2295	160593	2877892	3.13	0.15 
instancias\A19	47	205	22	6	194	2587	135576	3223682	2.13	0.17 
instancias\A20	17	133	7	10	381	2085	466120	2310552	0.76	0.12 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias_A_New\A1	5	293	16	1	276	1578	160356	1196124	0.23	0.06 
instancias_A_New\A2	72	153	21	72	137	3495	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias_A_New\A1	5	293	16	1	276	1578	160356	1196124	0.23	0.06 
instancias_A_New\A2	72	153	21	72	137	3495	114540	4494360	4.01	0.23 
instancias_A_New\A3	68	147	5	7	274	2155	126224	1423750	2.17	0.07 
instancias_A_New\A4	68	296	30	7	274	2155	126224	1423750	2.17	0.07 
instancias_A_New\A5	97	165	14	12	255	2205	109905	1817430	2.94	0.09 
instancias_A_New\A6	37	180	17	6	212	2166	172864	3028068	2.25	0.16 
instancias_A_New\A7	57	134	9	9	197	2781	270924	3257550	3.64	0.17 
instancias_A_New\A8	129	274	16	8	265	2897	153576	4062945	7.17	0.21 
instancias_A_New\A9	63	132	8	9	204	2095	140219	1703844	2.33	0.09 
instancias_A_New\A10	86	211	9	9	222	2783	237016	2830640	3.69	0.15 
instancias_A_New\A11	86	458	43	10	284	2205	208035	2459664	3.35	0.13 
instancias_A_New\A12	50	212	12	8	195	2303	143715	2025700	1.52	0.11 
instancias_A_New\A13	272	266	36	11	217	2171	98952	1832864	11.08	0.10 
instancias_A_New\A14	361	203	27	12	213	2118	110432	1404528	11.75	0.07 
instancias_A_New\A15	392	218	25	14	230	2031	108612	1246488	12.39	0.06 
instancias_A_New\A16	38	304	9	5	289	2420	285124	1907047	1.94	0.10 
instancias_A_New\A17	21	270	9	2	234	2298	239888	1808806	1.02	0.09 
instancias_A_New\A18	73	377	38	6	269	2295	160593	2877892	3.13	0.15 
instancias_A_New\A19	47	205	22	6	194	2587	135576	3223682	2.13	0.17 
instancias_A_New\A20	17	133	7	10	381	2085	466120	2310552	0.76	0.12 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A1	8	293	16	1	276	1578	160356	1196124	0.36	0.06 
instancias\A2	72	153	21	72	137	3529	114540	4494360	4.01	0.23 
instancias_new\A1	0	0	0	0	1410065407	0	1410065407	0	0.00	0.00 
